Focus Union Region Name,regions_unified
Any,Global
Asia Pacific (Mumbai),Asia Pacific (India)
Asia Pacific (Sydney),Australia
Belgium,Europe Central
Berlin,Europe Central
Columbus,US Central
Dallas,US Central
Dammam,Middle East & Africa
Delhi,Asia Pacific (India)
Doha,Middle East & Africa
EU (Ireland),Europe West
East US,US East
Finland,Europe North
Frankfurt,Europe Central
Hong Kong,Asia Pacific East
Iowa,US Central
Jakarta,Asia Pacific Southeast
Johannesburg,Middle East & Africa
Las Vegas,US West
London,Europe West
Los Angeles,US West
Madrid,Europe West
Melbourne,Australia
Milan,Europe Central
Montréal,North America Northeast
Mumbai,Asia Pacific (India)
Netherlands,Europe Central
Northern Virginia,US East
Oregon,US West
Osaka,Asia Pacific Northeast
Paris,Europe West
Salt Lake City,US West
Santiago,South America
Seoul,Asia Pacific Northeast
Singapore,Asia Pacific Southeast
South Carolina,US East
Sydney,Australia
São Paulo,South America
Taiwan,Asia Pacific East
Tel Aviv,Middle East & Africa
Tokyo,Asia Pacific Northeast
Toronto,North America Northeast
Turin,Europe Central
US East (N. Virginia),US East
US East (Ohio),US East
US West (N. California),US West
US West (Oregon),US West
Warsaw,Europe North
Zurich,Europe Central
